name,latitude,longitude
Lafayette Regional Health Center,39.1899505,-93.8769405
Mercy Hospital Joplin,37.0365499,-94.5097107
Mosaic Life Care at St. Joseph,39.7734171,-94.7703517
Pemiscot County Memorial Hospital,36.2378569,-89.7401986
Southeast Health Center Of Ripley County,36.6215361,-90.8262639
Cox Medical Center Branson,36.6510765,-93.221451
Poplar Bluff Regional Medical Center,36.7870508,-90.4423955
Golden Valley Memorial Hospital,38.3895779,-93.7685037
Citizens Memorial Hospital,37.6265236,-93.4197473
SSM Health Saint Joseph Hospital - Lake Saint Louis,38.8023056,-90.7752791
Black River Medical Center,36.7719225,-90.4571987
Madison Medical Center,37.5588842,-90.3029528
Community Hospital - Fairfax,40.3495057,-95.395017
Putnam County Memorial Hospital,40.4828235,-93.0058642
Sullivan County Memorial Hospital,40.2015799,-93.1336714
Samaritan Memorial Hospital,39.7477953,-92.4695527
Parkland Health Center-Bonne Terre,37.9118593,-90.532912
Parkland Health Center - Farmington,37.7819721,-90.4380396
Mercy Hospital Aurora,36.969585,-93.7099215
Hermann Area District Hospital,38.6931283,-91.4494309
Mercy Hospital Cassville,36.6745653,-93.8719055
Mercy Hospital Lincoln Grounds,38.9830751,-90.963487
Hedrick Medical Center,39.817013,-93.5512688
Northwest Medical Center,40.2529119,-94.3244653
Cox Monett Hospital,36.9269773,-93.9309852
Sainte Genevieve County Memorial Hospital,37.9694552,-90.0545374
Freeman Neosho Hospital,36.866547,-94.3693346
I-70 Community Hospital,38.9784129,-93.416579
Mercy Saint Francis Hospital,37.0026844,-91.7030431
Iron County Medical Center,37.6226786,-90.6450311
Ranken Jordan Pediatric Bridge Hospital,38.71041,-90.415906
Carroll County Memorial Hospital,39.3767409,-93.4919933
Northwest Missouri Psychiatric Rehabilitation Center,39.7805863,-94.8114856
Ray County Memorial Hospital,39.2638042,-93.9572656
SMDH Grounds,37.6604444,-91.5687385
Southeast Missouri Mental Health Center,37.7736926,-90.4368613
Hawthorne Children's Psychiatric Hospital,38.6862527,-90.3141389
Saint Francis Medical Center,37.3041199,-89.5713549
Texas County Memorial Hospital,37.3161093,-91.9606935
Heartland Behavioral Health Services,37.8461723,-94.3763651
Unnamed Hospital,39.1614562,-94.5294586
John J. Pershing VA Medical Center,36.7724532,-90.4169595
Excelsior Springs Hospital,39.3630125,-94.2387763
Free Market Physician - Cassville,36.6818896,-93.8662772
Unnamed Hospital,38.2491854,-94.346484
Unnamed Hospital,37.2486148,-93.2721366
Unnamed Hospital,40.0676586,-93.5818134
Cameron Regional Medical Center,39.7301594,-94.2176779
Lake Regional Health System,38.1206919,-92.6825094
First Aid,36.6683465,-93.3390152
First Aid,36.6437092,-93.2844373
Perry County Memorial Hospital,37.7325029,-89.8658911
Freeman Hospital East,37.0500364,-94.5069947
Beacon Surgery Center,38.9633404,-94.3609879
SSM Health St. Mary's Hospital - Audrain,39.1725187,-91.8776495
Centerpointe Hospital Of Columbia,39.0069558,-92.3218925
Medical Equipment,36.7392164,-91.8760349
Royal Oaks Hospital,38.5342292,-93.5183138
Unnamed Hospital,39.5643408,-94.4517114
Landmark Hospital Of Columbia,38.9583346,-92.3112114
Fulton State Hospital,38.8467033,-91.9370641
SSM Health,38.8220963,-90.8805531
SSM Health Outpatient Center,38.8242058,-90.8785213
Mercy Hospital Carthage,37.16281,-94.3179356
Mercy Hospital Washington,38.5526237,-91.0015886
Saint Louis Children's Hospital,38.6378291,-90.2649693
Research Medical Center,39.0099424,-94.5594746
Moberly Regional Medical Center,39.4252856,-92.4141838
Children's Mercy Hospital,39.0849249,-94.5773629
Broadway Medical Plaza,38.9507212,-92.3144654
