name,lat,lon
"Children's Hospital Colorado North Campus, Broomfield",40.0023939,-104.993217
Vibra Hospital of Denver,39.8508032,-104.9804031
North Suburban Medical Center,39.8646015,-104.9850275
84th Avenue Neighborhood Health Center,39.8507829,-105.0184473
AdventHealth Littleton Hospital,39.5758126,-104.9860355
Centennial Hospital,39.5934737,-104.8229718
National Jewish Health,39.7392248,-104.9423673
Denver Health Medical Center,39.7272908,-104.991165
Colorado Acute Long Term Hospital,39.7433317,-105.0358112
Saint Anthony Medical Campus,39.7144579,-105.1292145
"Children's Hospital Colorado South Campus, Highlands Ranch",39.5571396,-105.0108748
Saint Mary-Corwin Medical Center,38.234213,-104.6229583
Yampa Valley Medical Center,40.4632255,-106.8148729
Community Hospital,39.1051147,-108.6149976
Parkview Medical Center,38.2816914,-104.6125714
Century Cancer Centers - Denver,39.6210284,-104.8982248
Colorado Prostate Cancer Center,39.6209779,-104.8984586
Memory Care at The Gardens,39.6719794,-104.8682022
San Luis Valley Regional Medical Center,37.471566,-105.8825511
Montrose Memorial Hospital,38.480772,-107.8685613
East Morgan County Hospital,40.2557369,-103.6491006
McKee Medical Center,40.4132902,-105.0515167
Medical Center of the Rockies,40.4155035,-104.997797
AdventHealth Castle Rock Hospital,39.4047596,-104.8847722
Craig Hospital,39.6540587,-104.9783557
HealthOne Rose Medical Center,39.7319764,-104.9334207
Saint Paul Health Center,39.7430595,-104.951599
St. Thomas More Hospital,38.454802,-105.2298121
Vail Health Vail Campus,39.6434072,-106.382329
HealthOne Spalding Rehabilitation Hospital,39.7311127,-104.827415
The Medical Center of Aurora-North Campus,39.727709,-104.8268538
Weisbrod Memorial County Hospital,38.4804084,-102.7848403
Rio Grande Hospital,37.6743038,-106.3641215
Family Health West Hospital,39.1636821,-108.7371509
Melissa Memorial Hospital,40.5793044,-102.2900983
Lincoln Community Hospital,39.1382574,-103.473377
Rangely District Hospital,40.0790668,-108.8069442
Southeast Colorado Hospital,37.4046657,-102.6123101
Spanish Peaks Regional Health Center,37.6004898,-104.8319641
Grand River Medical Center,39.5211102,-107.7705011
Aspen Valley Hospital,39.1905889,-106.839214
Pioneers Medical Center,40.0463826,-107.8812531
Mind Springs Health,39.0790675,-108.5210222
Middle Park Medical Center,40.0570711,-106.3905877
UCHealth Broomfield Hospital,39.910515,-105.09145
Rocky Mountain Regional VA Medical Center (RMR VAMC),39.7434248,-104.8298733
East Morgan County Hospital,40.2556413,-103.6493223
UCHealth Highlands Ranch Hospital,39.5523313,-105.0058514
Mercy Regional Medical Center,37.2359426,-107.8258869
Unnamed Hospital,37.2481243,-107.8708117
Animas Surgical Hospital,37.2481043,-107.8709281
Parkview - Pueblo West Emergency Services,38.3287332,-104.7019188
Cesar E. Chavez Family Medical Center,37.7565431,-106.1105453
UCHealth Grandview Hospital,38.9109833,-104.8170433
Denver Springs,39.5565522,-104.8276312
Community Hospital,39.1051344,-108.6150357
Highlands Behavioral Health,39.562799,-104.9079215
UCHealth Greeley Hospital,40.3910085,-104.7901327
Unnamed Hospital,38.8306353,-106.1222789
Reunion Rehabilitational Hospital Inverness,39.5602848,-104.8644576
Unnamed Hospital,40.4496704,-104.6986148
Unnamed Hospital,40.4486208,-104.6979627
Unnamed Hospital,40.3905718,-104.7907745
Centura ER,40.0448592,-104.9749275
Banner North Colorado Medical Center,40.4148687,-104.7098492
Lutheran Medical Center,39.770889,-105.1460967
Presbyterian / Saint Luke's Medical Center,39.7471526,-104.9665996
West Springs Hospital,39.0784767,-108.5215557
UC Health Harmony Campus,40.5216029,-105.0343594
Unnamed Hospital,40.4142377,-104.7088849
