State,State2,County,Data_Value,Short_Question_Text,Long,Lat
AR,Arkansas,Clay,31.2,Depression,-90.41707768,36.36836759
CA,California,Madera,15.2,Current Cigarette Smoking,-119.7626226,37.21817352
AL,Alabama,Macon,20.5,Frequent Mental Distress,-85.69211983,32.38581264
AZ,Arizona,Pinal,38.4,Obesity,-111.3447932,32.90451454
AR,Arkansas,Garland,37.8,Obesity,-93.15049777,34.57662308
AK,Alaska,Juneau,19.5,Depression,-134.1729028,58.44913504
AL,Alabama,Franklin,20.3,Current Cigarette Smoking,-87.84367502,34.44173888
AZ,Arizona,Coconino,22.5,Depression,-111.7705771,35.8387929
CA,California,San Luis Obispo,28.2,Obesity,-120.4044783,35.38711295
AR,Arkansas,Newton,14.9,Binge Drinking,-93.21756298,35.92009606
AZ,Arizona,Greenlee,13.3,Current Cigarette Smoking,-109.2401857,33.21520036
AL,Alabama,Washington,15.1,Binge Drinking,-88.20817141,31.40754999
CA,California,Mono,21.6,Binge Drinking,-118.8874418,37.9391656
AL,Alabama,Geneva,38.6,Obesity,-85.8396481,31.09503659
AL,Alabama,Chilton,19,Frequent Mental Distress,-86.71856029,32.84792673
AK,Alaska,Nome,33.3,Current Cigarette Smoking,-164.0339199,64.91099017
CA,California,Santa Cruz,32.4,Short Sleep Duration,-122.0014044,37.05582555
AL,Alabama,Chambers,33.7,Physical Inactivity,-85.39175775,32.91416778
CA,California,Siskiyou,32.6,Obesity,-122.5405493,41.5927246
AR,Arkansas,Johnson,38.4,Physical Inactivity,-93.45989126,35.56975542
AK,Alaska,Prince of Wales-Hyder,20.2,Binge Drinking,-133.0551558,55.81730596
AL,Alabama,Calhoun,17,Current Cigarette Smoking,-85.82576744,33.77149313
AR,Arkansas,Lawrence,35.2,Physical Inactivity,-91.10720921,36.04120507
AL,Alabama,Dallas,21,Depression,-87.10652061,32.32583068
AR,Arkansas,Lincoln,36.4,Physical Inactivity,-91.73443276,33.95698701
AR,Arkansas,Cross,34.4,Physical Inactivity,-90.77149451,35.2958747
CA,California,Lassen,23.3,Depression,-120.594352,40.67346269
AR,Arkansas,Logan,35.2,Physical Inactivity,-93.71716263,35.21488663
CA,California,Amador,23.1,Depression,-120.6507609,38.4464297
AZ,Arizona,Yuma,34,Short Sleep Duration,-113.9059974,32.76944277
AK,Alaska,Aleutians East,16.5,Binge Drinking,-161.9645714,55.35997956
CA,California,Santa Barbara,20.9,Physical Inactivity,-120.0153418,34.67140504
AR,Arkansas,Ouachita,42.4,Obesity,-92.88204079,33.59325393
AR,Arkansas,Desha,26.4,Current Cigarette Smoking,-91.25524128,33.83084264
AK,Alaska,Denali,20.7,Physical Inactivity,-150.0116153,63.67148845
AL,Alabama,Lauderdale,36.5,Obesity,-87.65409839,34.90144385
CA,California,Los Angeles,16,Frequent Mental Distress,-118.2245501,34.32138473
AZ,Arizona,Coconino,19.7,Binge Drinking,-111.7705771,35.8387929
AK,Alaska,Ketchikan Gateway,15.3,Current Cigarette Smoking,-130.9363509,55.5865794
AR,Arkansas,Pike,27.4,Depression,-93.65677607,34.16391754
CA,California,Monterey,32.8,Obesity,-121.2385189,36.21703349
AZ,Arizona,Yuma,17.5,Frequent Mental Distress,-113.9059974,32.76944277
AR,Arkansas,Poinsett,14.5,Binge Drinking,-90.66310531,35.57407584
AR,Arkansas,Chicot,44.6,Obesity,-91.29335056,33.26674704
AL,Alabama,Pickens,34.2,Physical Inactivity,-88.08913107,33.28078701
AR,Arkansas,Dallas,16.1,Binge Drinking,-92.6542604,33.96974151
AZ,Arizona,Apache,39.1,Obesity,-109.4888192,35.39546817
AR,Arkansas,Chicot,13.8,Binge Drinking,-91.29335056,33.26674704
AL,Alabama,Dallas,10.6,Binge Drinking,-87.10652061,32.32583068
AR,Arkansas,Crawford,39.5,Obesity,-94.24242457,35.58843212
CA,California,Kern,17.7,Binge Drinking,-118.7300291,35.34282624
AL,Alabama,Jackson,20.2,Frequent Mental Distress,-85.99950526,34.77963928
AK,Alaska,Matanuska-Susitna,32,Obesity,-149.5734591,62.31542313
CA,California,Imperial,13.6,Current Cigarette Smoking,-115.365089,33.0401896
AR,Arkansas,Mississippi,43.2,Obesity,-90.05226155,35.76241524
AR,Arkansas,Pike,31.9,Physical Inactivity,-93.65677607,34.16391754
AR,Arkansas,Sharp,36.1,Short Sleep Duration,-91.47966484,36.16125258
AR,Arkansas,Drew,16.7,Binge Drinking,-91.7196579,33.58941136
AK,Alaska,Bristol Bay,16,Frequent Mental Distress,-156.7001325,58.74402617
AR,Arkansas,Van Buren,37,Obesity,-92.51589227,35.58061188
AR,Arkansas,St. Francis,40.8,Physical Inactivity,-90.74847786,35.02216924
AL,Alabama,Baldwin,23.8,Physical Inactivity,-87.72262046,30.72774558
CA,California,Butte,20.2,Binge Drinking,-121.6011517,39.66637959
AL,Alabama,Marshall,38.6,Obesity,-86.30620232,34.36738471
AK,Alaska,Dillingham,27.7,Current Cigarette Smoking,-158.2361782,59.79781712
AR,Arkansas,Columbia,17.4,Current Cigarette Smoking,-93.22752883,33.21440703
AR,Arkansas,Saline,25,Physical Inactivity,-92.67651729,34.64664558
AL,Alabama,Hale,11.4,Binge Drinking,-87.62886177,32.7624423
AL,Alabama,Lawrence,26.4,Depression,-87.3108851,34.52167354
AL,Alabama,Fayette,22.5,Frequent Mental Distress,-87.73890505,33.72117135
CA,California,San Mateo,17.6,Depression,-122.3287567,37.42319554
CA,California,San Mateo,17.4,Binge Drinking,-122.3287567,37.42319554
AR,Arkansas,Miller,26.8,Depression,-93.89242818,33.31231561
AR,Arkansas,Fulton,24.2,Frequent Mental Distress,-91.81788808,36.38162063
AR,Arkansas,Monroe,24.9,Depression,-91.20391649,34.67784633
AL,Alabama,Henry,35.2,Physical Inactivity,-85.2412788,31.51484756
AL,Alabama,Limestone,24.4,Physical Inactivity,-86.98145381,34.8102608
AR,Arkansas,Drew,40.4,Obesity,-91.7196579,33.58941136
CA,California,San Francisco,17.6,Obesity,-122.4396812,37.7566838
AR,Arkansas,Jackson,43.3,Short Sleep Duration,-91.21463249,35.59936097
AR,Arkansas,Cross,21.8,Frequent Mental Distress,-90.77149451,35.2958747
AR,Arkansas,Johnson,41.9,Short Sleep Duration,-93.45989126,35.56975542
AL,Alabama,Lee,15.8,Binge Drinking,-85.35503621,32.6012545
AR,Arkansas,Independence,15.6,Binge Drinking,-91.57001126,35.74169981
AR,Arkansas,Clay,15.6,Binge Drinking,-90.41707768,36.36836759
AL,Alabama,Jackson,42.1,Short Sleep Duration,-85.99950526,34.77963928
AL,Alabama,Greene,21.1,Depression,-87.95194834,32.85304372
AR,Arkansas,Arkansas,16.1,Binge Drinking,-91.3742444,34.28904512
AR,Arkansas,Newton,30.6,Depression,-93.21756298,35.92009606
AR,Arkansas,Saline,15,Current Cigarette Smoking,-92.67651729,34.64664558
AL,Alabama,St. Clair,24.8,Physical Inactivity,-86.31459052,33.71531939
AL,Alabama,Marshall,39.1,Short Sleep Duration,-86.30620232,34.36738471
AR,Arkansas,Craighead,28.7,Depression,-90.63293368,35.83082466
AL,Alabama,Hale,23.2,Depression,-87.62886177,32.7624423
AR,Arkansas,Franklin,15,Binge Drinking,-93.8905515,35.51244013
AK,Alaska,Kusilvak,38.8,Physical Inactivity,-163.3858717,62.15661557
US,United States,,18,Binge Drinking,-95.7129,37.0902
AZ,Arizona,Greenlee,20.4,Depression,-109.2401857,33.21520036
CA,California,San Bernardino,37.8,Short Sleep Duration,-116.1784416,34.8415154
AK,Alaska,Lake and Peninsula,20.8,Depression,-156.1941128,58.64892918
AL,Alabama,Cherokee,37.4,Short Sleep Duration,-85.60384302,34.17583556
AL,Alabama,Cleburne,16.8,Binge Drinking,-85.51790759,33.67491729
AR,Arkansas,Conway,41.3,Obesity,-92.70123997,35.26254363
CA,California,Santa Cruz,29.4,Obesity,-122.0014044,37.05582555
AR,Arkansas,White,16.6,Binge Drinking,-91.745478,35.25608652
AK,Alaska,Juneau,15,Current Cigarette Smoking,-134.1729028,58.44913504
AR,Arkansas,Montgomery,39.8,Obesity,-93.65949296,34.53916641
CA,California,Colusa,27.8,Physical Inactivity,-122.2381269,39.17767937
AR,Arkansas,Jackson,22.2,Frequent Mental Distress,-91.21463249,35.59936097
AR,Arkansas,Stone,39.7,Short Sleep Duration,-92.15709888,35.8596285
AL,Alabama,Washington,41.5,Obesity,-88.20817141,31.40754999
AR,Arkansas,Polk,37,Obesity,-94.22822104,34.48585924
CA,California,Solano,32.8,Obesity,-121.932781,38.26993756
AL,Alabama,Bullock,22.2,Depression,-85.71575967,32.10057313
AL,Alabama,Fayette,20.4,Frequent Mental Distress,-87.73890505,33.72117135
AR,Arkansas,Chicot,11.6,Binge Drinking,-91.29335056,33.26674704
CA,California,San Francisco,13.8,Frequent Mental Distress,-122.4396812,37.7566838
AR,Arkansas,Grant,21.3,Frequent Mental Distress,-92.42344534,34.29004795
AR,Arkansas,Bradley,25.2,Depression,-92.16248342,33.4666237
AK,Alaska,Denali,18.5,Depression,-150.0116153,63.67148845
CA,California,Mendocino,23.1,Depression,-123.3913218,39.44031148
AR,Arkansas,White,40.4,Obesity,-91.745478,35.25608652
AK,Alaska,Prince of Wales-Hyder,18.8,Frequent Mental Distress,-133.0551558,55.81730596
AR,Arkansas,Little River,33.6,Physical Inactivity,-94.23412145,33.70202967
CA,California,Riverside,19.8,Depression,-115.9947649,33.74377104
AR,Arkansas,Clay,38.8,Short Sleep Duration,-90.41707768,36.36836759
AR,Arkansas,Garland,15.2,Binge Drinking,-93.15049777,34.57662308
AR,Arkansas,Cleburne,35.9,Obesity,-92.0266618,35.53816711
AL,Alabama,Shelby,11.2,Current Cigarette Smoking,-86.66086629,33.26452439
AR,Arkansas,Benton,23.8,Depression,-94.255831,36.33897815
AR,Arkansas,Van Buren,24.3,Current Cigarette Smoking,-92.51589227,35.58061188
AR,Arkansas,Scott,14.7,Binge Drinking,-94.06316919,34.86087707
AL,Alabama,Cherokee,20,Frequent Mental Distress,-85.60384302,34.17583556
CA,California,Santa Clara,19.1,Physical Inactivity,-121.6952514,37.23168752
AR,Arkansas,Columbia,38.5,Obesity,-93.22752883,33.21440703
CA,California,Santa Barbara,20.4,Binge Drinking,-120.0153418,34.67140504
AK,Alaska,Aleutians East,13.3,Frequent Mental Distress,-161.9645714,55.35997956
AL,Alabama,Conecuh,33.2,Physical Inactivity,-86.99354451,31.42930226
AL,Alabama,Jefferson,26.5,Physical Inactivity,-86.8966323,33.55455795
CA,California,Santa Clara,13.3,Frequent Mental Distress,-121.6952514,37.23168752
AL,Alabama,Winston,36.3,Obesity,-87.37365805,34.14926571
AK,Alaska,Aleutians West,13.5,Depression,-110.2449123,52.79430361
AR,Arkansas,Columbia,39.9,Short Sleep Duration,-93.22752883,33.21440703
CA,California,Fresno,23,Depression,-119.6489945,36.75817144
AL,Alabama,Russell,43.3,Short Sleep Duration,-85.18465818,32.28820999
AR,Arkansas,Lafayette,42.7,Obesity,-93.60742366,33.24141562
AL,Alabama,Bibb,41.4,Obesity,-87.12659254,32.99846055
AR,Arkansas,Drew,40.5,Short Sleep Duration,-91.7196579,33.58941136
AR,Arkansas,Hot Spring,17.7,Binge Drinking,-92.94522446,34.31776969
AL,Alabama,Bibb,41.4,Obesity,-87.12659254,32.99846055
US,United States,,23.7,Physical Inactivity,-95.7129,37.0902
AR,Arkansas,Pulaski,18.6,Binge Drinking,-92.31195483,34.77003945
AR,Arkansas,Independence,22.6,Current Cigarette Smoking,-91.57001126,35.74169981
CA,California,Calaveras,33.3,Short Sleep Duration,-120.5540478,38.20477082
AR,Arkansas,Phillips,50.7,Obesity,-90.84869294,34.42765555
CA,California,Orange,10.7,Current Cigarette Smoking,-117.761131,33.70279045
AL,Alabama,Marengo,46.1,Obesity,-87.78951245,32.2478855
AR,Arkansas,Howard,39.2,Obesity,-93.99380533,34.08890447
AR,Arkansas,Pope,28.5,Physical Inactivity,-93.0344857,35.44807726
AR,Arkansas,Searcy,40.8,Obesity,-92.69949014,35.91112648
AR,Arkansas,Johnson,22.8,Frequent Mental Distress,-93.45989126,35.56975542
AZ,Arizona,Maricopa,20.6,Depression,-112.4914018,33.34909205
AR,Arkansas,Washington,33.5,Obesity,-94.21567934,35.97884808
AL,Alabama,Coffee,22.5,Depression,-85.98809147,31.4024803
AR,Arkansas,Poinsett,37.7,Physical Inactivity,-90.66310531,35.57407584
AR,Arkansas,Phillips,24,Depression,-90.84869294,34.42765555
CA,California,Marin,13.9,Frequent Mental Distress,-122.7235549,38.07351384
CA,California,Kings,36.1,Short Sleep Duration,-119.8153941,36.07523803
AL,Alabama,Talladega,13.3,Binge Drinking,-86.16547143,33.38006414
AL,Alabama,Limestone,16.3,Binge Drinking,-86.98145381,34.8102608
AR,Arkansas,Greene,41.5,Short Sleep Duration,-90.55908045,36.11761548
AL,Alabama,Monroe,19.5,Current Cigarette Smoking,-87.36547088,31.57081678
AL,Alabama,Lamar,13.9,Binge Drinking,-88.09695483,33.77914638
CA,California,Sierra,16,Binge Drinking,-120.5164661,39.58029289
AK,Alaska,Southeast Fairbanks,17.9,Binge Drinking,-143.2135508,63.87627881
AK,Alaska,Yukon-Koyukuk,39.4,Obesity,-151.390099,65.5085661
CA,California,Santa Barbara,32.2,Short Sleep Duration,-120.0153418,34.67140504
AL,Alabama,Montgomery,22,Depression,-86.20769963,32.22070347
AL,Alabama,Dale,18.5,Current Cigarette Smoking,-85.61092668,31.43166296
AL,Alabama,Morgan,18.9,Frequent Mental Distress,-86.85302965,34.45356981
CA,California,El Dorado,24.7,Obesity,-120.5245841,38.77868751
AZ,Arizona,Coconino,18,Physical Inactivity,-111.7705771,35.8387929
AZ,Arizona,Pinal,15.1,Current Cigarette Smoking,-111.3447932,32.90451454
AK,Alaska,North Slope,23.9,Physical Inactivity,-153.4793879,69.31356174
AR,Arkansas,Dallas,43.6,Obesity,-92.6542604,33.96974151
AR,Arkansas,Bradley,42.6,Short Sleep Duration,-92.16248342,33.4666237
AZ,Arizona,Pima,14,Current Cigarette Smoking,-111.7901798,32.09752374
CA,California,Kings,16.3,Current Cigarette Smoking,-119.8153941,36.07523803
AR,Arkansas,Jefferson,13.9,Binge Drinking,-91.93065044,34.26848761
AL,Alabama,Elmore,19.1,Frequent Mental Distress,-86.14843402,32.59706869
AL,Alabama,Washington,31.9,Physical Inactivity,-88.20817141,31.40754999
CA,California,San Bernardino,12.6,Current Cigarette Smoking,-116.1784416,34.8415154
AK,Alaska,Prince of Wales-Hyder,37.6,Obesity,-133.0551558,55.81730596
AL,Alabama,Walker,21.2,Current Cigarette Smoking,-87.29780924,33.80312536
AL,Alabama,Hale,43.9,Short Sleep Duration,-87.62886177,32.7624423
AL,Alabama,Blount,36.5,Short Sleep Duration,-86.56745455,33.98084844
CA,California,Kings,31.6,Obesity,-119.8153941,36.07523803
AR,Arkansas,Calhoun,39.1,Short Sleep Duration,-92.50294131,33.55805872
AR,Arkansas,Prairie,38.3,Obesity,-91.55277242,34.82968055
CA,California,Madera,23.7,Depression,-119.7626226,37.21817352
CA,California,Mendocino,19.8,Binge Drinking,-123.3913218,39.44031148
AK,Alaska,Skagway,17.5,Current Cigarette Smoking,-135.3360283,59.55927372
AL,Alabama,Sumter,35.9,Physical Inactivity,-88.19913564,32.59097551
AR,Arkansas,Yell,38.8,Short Sleep Duration,-93.41030784,35.00278292
CA,California,Kern,35.9,Obesity,-118.7300291,35.34282624
AR,Arkansas,St. Francis,23,Frequent Mental Distress,-90.74847786,35.02216924
CA,California,Inyo,18,Binge Drinking,-117.4111126,36.51142269
AL,Alabama,Russell,13.8,Binge Drinking,-85.18465818,32.28820999
AR,Arkansas,Hempstead,40.8,Obesity,-93.66821944,33.73570813
AK,Alaska,Northwest Arctic,29.2,Current Cigarette Smoking,-159.7222334,67.05279334
AL,Alabama,Cleburne,19.9,Frequent Mental Distress,-85.51790759,33.67491729
AR,Arkansas,Newton,38,Short Sleep Duration,-93.21756298,35.92009606
AR,Arkansas,Boone,39,Obesity,-93.09168179,36.30864368
AR,Arkansas,Lawrence,31.7,Depression,-91.10720921,36.04120507
AR,Arkansas,Greene,17.8,Binge Drinking,-90.55908045,36.11761548
CA,California,Lake,19,Frequent Mental Distress,-122.7534136,39.0999887
AL,Alabama,Chambers,20.9,Current Cigarette Smoking,-85.39175775,32.91416778
CA,California,San Mateo,18.1,Physical Inactivity,-122.3287567,37.42319554
AZ,Arizona,La Paz,35.9,Obesity,-113.9815375,33.72925711
AZ,Arizona,Apache,24.9,Depression,-109.4888192,35.39546817
AL,Alabama,Chilton,36.3,Obesity,-86.71856029,32.84792673
AK,Alaska,Lake and Peninsula,18.6,Binge Drinking,-156.1941128,58.64892918
AL,Alabama,Macon,35.1,Physical Inactivity,-85.69211983,32.38581264
AL,Alabama,Autauga,37.7,Short Sleep Duration,-86.64281642,32.53500162
AZ,Arizona,Cochise,17.8,Frequent Mental Distress,-109.7513848,31.87945885
AR,Arkansas,Lonoke,16.9,Binge Drinking,-91.88868062,34.75434031
AL,Alabama,Walker,42.6,Short Sleep Duration,-87.29780924,33.80312536
CA,California,Humboldt,21.7,Physical Inactivity,-123.8756742,40.69920518
CA,California,Madera,18.5,Binge Drinking,-119.7626226,37.21817352
CA,California,Riverside,19.6,Binge Drinking,-115.9947649,33.74377104
AR,Arkansas,Sharp,22.3,Current Cigarette Smoking,-91.47966484,36.16125258
AR,Arkansas,Calhoun,32.7,Physical Inactivity,-92.50294131,33.55805872
AL,Alabama,Calhoun,24.6,Depression,-85.82576744,33.77149313
CA,California,Mariposa,32.3,Obesity,-119.9054123,37.58154637
AL,Alabama,Talladega,20.8,Frequent Mental Distress,-86.16547143,33.38006414
AK,Alaska,Wrangell,20.2,Binge Drinking,-132.0332911,56.32753529
CA,California,Imperial,17.9,Binge Drinking,-115.365089,33.0401896
AR,Arkansas,Little River,14.8,Binge Drinking,-94.23412145,33.70202967
AL,Alabama,Blount,15.2,Binge Drinking,-86.56745455,33.98084844
CA,California,Santa Barbara,16.6,Frequent Mental Distress,-120.0153418,34.67140504
AZ,Arizona,Yavapai,22.9,Depression,-112.5536409,34.59969775
CA,California,Shasta,20.8,Physical Inactivity,-122.0402466,40.76378798
AL,Alabama,Shelby,34.2,Short Sleep Duration,-86.66086629,33.26452439
