compendium_hospital_id,ccn,hospital_name,hospital_street,hospital_city,hospital_state,hospital_zip,acutehosp_flag,health_sys_id,health_sys_name,health_sys_city,health_sys_state,hos_beds,hos_dsch,hos_res,hos_children,hos_majteach,hos_vmajteach,hos_teachint,hos_highdpp,hos_ucburden,hos_highuc,hos_ownership,hos_net_revenue,hos_total_revenue
CHSP00000023,140258,Alexian Brothers Medical Center,800 Biesterfield Road,Elk Grove Village,IL,60007,1,HSI00000055,Ascension Health,Saint Louis,MO,282,15739,0,0,0,0,0,0,0.070690464,0,2,487853682,2340364428
CHSP00000024,140292,Adventist Glenoaks Hospital,701 Winthrop Avenue,Glendale Heights,IL,60139,1,HSI00000010,AdventHealth,Altamonte Springs,FL,122,4832,0,0,0,0,0,0,0.03284348,0,2,96165340,318034319
CHSP00000025,140290,St. Alexius Medical Center,1555 Barrington Road,Hoffman Estates,IL,60169,1,HSI00000055,Ascension Health,Saint Louis,MO,318,17340,10.14,0,0,0,0.0318867925,0,0.0632167998,0,2,346301112,1700791443
CHSP00000027,421301,Abbeville Area Medical Center,420 Thomson Circle,Abbeville,SC,29620,1,,,,,25,503,0,0,0,0,0,0,0.063740926,0,3,43037055,93718598
CHSP00000028,190034,Abbeville General Hospital,118 North Hospital Drive,Abbeville,LA,70510,1,,,,,44,1442,0,0,0,0,0,0,0.0236415072,0,3,68481522,181072343
CHSP00000029,240057,Abbott Northwestern Hospital,800 East 28th Street,Minneapolis,MN,55407,1,HSI00000029,Allina Health,Minneapolis,MN,586,30158,50.38,0,0,0,0.0859726962,0,0.0169459777,0,1,1240356877,3833171235
CHSP00000030,454098,Oceans Behavioral Hospital Abilene,4225 Woods Pl,Abilene,TX,79602,0,,,,,,,,,,,,,,,,,
CHSP00000031,450558,Hendrick Medical Center South,6250 Us Highway 83,Abilene,TX,79606,1,HSI00000471,Hendrick Health System,Abilene,TX,,,,,,,,,,,,,
CHSP00000032,390231,Abington Memorial Hospital,1200 Old York Road,Abington,PA,19001,1,HSI00000048,Jefferson Health,Philadelphia,PA,588,27755,165.25,0,1,0,0.281037415,0,0.0399846421,0,1,723801405,2723740463
CHSP00000033,390012,Lansdale Hospital,100 Medical Campus Drive,Lansdale,PA,19446,1,HSI00000048,Jefferson Health,Philadelphia,PA,140,5270,0,0,0,0,0,0,0.0212746458,0,1,91322199,394968863
CHSP00000034,141322,Lincoln Memorial Hospital,200 Stahlhut Drive,Lincoln,IL,62656,1,HSI00000648,Memorial Health System,Springfield,IL,25,600,0,0,0,0,0,0,0.0413577997,0,1,61503178,174692152
CHSP00000036,030094,Abrazo Arrowhead Campus,18701 North 67th Avenue,Glendale,AZ,85308,1,HSI00001066,Tenet Healthcare,Dallas,TX,270,15603,39.15,0,0,0,0.145,0,0.0213350568,0,5,404375524,3651546438
CHSP00000037,030030,Abrazo Central Campus,2000 West Bethany Home Road,Phoenix,AZ,85015,1,HSI00001066,Tenet Healthcare,Dallas,TX,161,5985,18.17,0,0,0,0.1128571429,1,0.0661290459,0,5,132236230,1325596197
CHSP00000039,030083,Abrazo Scottsdale Campus,3929 East Bell Road,Phoenix,AZ,85032,1,HSI00001066,Tenet Healthcare,Dallas,TX,128,4105,0,0,0,0,0,0,0.1204958757,1,5,117362131,1167628402
CHSP00000040,030110,Abrazo West Campus,13677 West Mcdowell Road,Goodyear,AZ,85395,1,HSI00001066,Tenet Healthcare,Dallas,TX,197,11959,31.22,0,0,0,0.1584771574,0,0.0301962352,0,5,285091315,2600494065
CHSP00000041,191322,Ochsner - Abrom Kaplan Mh,1310 West Seventh Street,Kaplan,LA,70548,1,HSI00000780,Ochsner Health System,New Orleans,LA,25,210,0,0,0,0,0,0,0.018406974,0,1,22351679,37503097
CHSP00000042,190044,Acadia General Hospital,1305 Crowley Rayne Highway,Crowley,LA,70526,1,HSI00000780,Ochsner Health System,New Orleans,LA,54,1495,0,0,0,0,0,0,0.0956748599,0,1,40211124,212885711
CHSP00000043,204006,Acadia Hospital,268 Stillwater Avenue,Bangor,ME,04401,0,HSI00000330,Northern Light Health,Brewer,ME,68,1367,0,0,0,0,0,0,,0,1,65046391,130405468
CHSP00000045,194078,Vermilion Behavioral Health Systems,1131 Rue Du Belier,Lafayette,LA,70506,0,,,,,,,,,,,,,,,,,
CHSP00000046,194044,Acadia Vermilion Hospital,2520 North University Avenue,Lafayette,LA,70507,0,,,,,78,3133,0,0,0,0,0,0,,0,5,17616501,49501048
CHSP00000048,191319,Acadia-St. Landry Hospital,810 South Broadway Street,Church Point,LA,70525,1,,,,,15,55,0,0,0,0,0,0,0.0136840014,0,3,15186484,15945292
CHSP00000050,320070,Acoma-Canoncito-Laguna Hospital,80b Veterans Boulevard,Acoma,NM,87034,0,,,,,,,,,,,,,,,,,
CHSP00000053,312023,Ssh - Atlantic City,"1925 Pacific Avenue, 7th Floor",Atlantic City,NJ,08401,0,,,,,30,287,0,0,0,0,0,0,,0,5,19884248,166029559
CHSP00000058,161310,Adair County Memorial Hospital,609 Se Kent Street,Greenfield,IA,50849,1,HSI00001107,Trinity Health,Minot,ND,25,95,0,0,0,0,0,0,0.0477939478,0,3,15292260,22661728
CHSP00000059,361326,Adams County Regional Medical Center,230 Medical Center Drive,Seaman,OH,45679,1,,,,,25,552,0,0,0,0,0,0,0.12758721,1,1,36044736,108126893
CHSP00000060,151330,Adams Memorial Hospital,1100 Mercer Avenue,Decatur,IN,46733,1,,,,,25,996,0,0,0,0,0,0,0.1107778177,1,3,71123141,132542101
CHSP00000061,220062,Adcare Hospital Of Worcester,107 Lincoln Street,Worcester,MA,01605,0,,,,,114,5792,0,0,0,0,0,0,,0,5,36319419,75153727
CHSP00000063,361304,Greenfield Area Medical Center,550 Mirabeau Street,Greenfield,OH,45123,1,HSI00000008,Adena Health System,Chillicothe,OH,25,154,0,0,0,0,0,0,0.0872636566,0,1,21881308,66145043
CHSP00000064,360159,Adena Regional Medical Center,272 Hospital Road,Chillicothe,OH,45601,1,HSI00000008,Adena Health System,Chillicothe,OH,209,9655,39.74,0,0,0,0.1901435407,0,0.0345878519,0,1,470687141,1772533466
CHSP00000065,361334,Pike Community Hospital,100 Dawn Lane,Waverly,OH,45690,1,HSI00000008,Adena Health System,Chillicothe,OH,25,343,0,0,0,0,0,0,0.1020010692,0,1,27798629,88071507
CHSP00000068,330079,Adirondack Medical Center,2233 State Route 86,Saranac Lake,NY,12983,1,,,,,83,1893,0,0,0,0,0,0,0.0531173455,0,1,119555517,336292051
CHSP00000069,272001,Advanced Care Hospital Of Montana,3528 Gabel Road,Billings,MT,59102,0,,,,,40,535,0,0,0,0,0,0,,0,5,29264728,44814764
CHSP00000070,322004,Advanced Care Hospital Of Southern N,4451 East Lohman Avenue,Las Cruces,NM,88011,0,,,,,20,230,0,0,0,0,0,0,,0,5,11268495,22811496
CHSP00000071,042011,Advanced Care Hospital Of White Co.,1200 South Main Street,Searcy,AR,72143,0,HSI00001145,Unity Health,Searcy,AR,27,148,0,0,0,0,0,0,,0,5,6425652,20729784
CHSP00000072,670203,Advanced Diagnostics Hospital,12950 East Freeway,Houston,TX,77015,1,,,,,,,,,,,,,,,,,
CHSP00000073,362038,Advanced Specialty Hosp. Of Toledo,1015 Garden Lake Parkway,Toledo,OH,43614,0,,,,,40,291,0.83,0,0,0,0.02075,0,,0,5,11442109,29944902
CHSP00000074,390323,Advanced Surgical Hospital,100 Trich Drive Suite 1,Washington,PA,15301,0,,,,,14,533,0,0,0,0,0,0,,0,5,20481841,78968266
CHSP00000076,214013,Adventist Healthcare Shady Grove Medical Center Mental Health,14901 Broschart Rd,Rockville,MD,20850,0,HSI00000012,Adventist Healthcare,Gaithersburg,MD,,,,,,,,,,,,,
CHSP00000077,210057,Ahc Shady Grove Medical Center,9901 Medical Center Drive,Rockville,MD,20850,1,HSI00000012,Adventist Healthcare,Gaithersburg,MD,381,19852,0,0,0,0,0,0,,0,2,446519476,531270315
CHSP00000078,210016,Ahc White Oak Medical Center,11890 Healing Way,Silver Spring,MD,20904,1,HSI00000012,Adventist Healthcare,Gaithersburg,MD,196,13626,0,0,0,0,0,0,,0,2,323212622,390517640
CHSP00000079,140065,Adventist Lagrange Memorial Hospital,5101 South Willow Spring Road,La Grange,IL,60525,1,HSI00000010,AdventHealth,Altamonte Springs,FL,159,6699,20.53,0,0,0,0.1291194969,0,0.0686688099,0,2,176877526,699102155
CHSP00000080,050121,Adventist Health Hanford,115 Mall Drive,Hanford,CA,93230,1,HSI00000011,Adventist Health,Roseville,CA,235,9412,16.38,0,0,0,0.0697021277,1,0.0293838993,0,2,341050981,1460677569
CHSP00000081,050470,Adventist Health Selma,1141 Rose Ave,Selma,CA,93662,1,HSI00000011,Adventist Health,Roseville,CA,,,,,,,,,,,,,
CHSP00000082,380060,Adventist Medical Center-Portland,10123 Se Market Street,Portland,OR,97216,1,HSI00000011,Adventist Health,Roseville,CA,168,7684,0,0,0,0,0,0,0.0257465425,0,2,324292470,1337064906
CHSP00000083,050192,Adventist Health Reedley,372 West Cypress Avenue,Reedley,CA,93654,1,HSI00000011,Adventist Health,Roseville,CA,49,1587,0,0,0,0,0,1,0.046562125,0,2,187051235,392616816
CHSP00000084,213029,Adventist Rehab. Hospt. Of Md,9909 Medical Center Drive,Rockville,MD,20850,0,HSI00000012,Adventist Healthcare,Gaithersburg,MD,97,2118,0,0,0,0,0,0,,0,2,66868688,118020572
CHSP00000085,140127,Carle  Bromenn Medical Center,1304 Franklin Avenue,Normal,IL,61761,1,HSI00001074,The Carle Foundation,Urbana,IL,206,7572,8.45,0,0,0,0.0410194175,0,0.0381695154,0,2,209134259,688574648
CHSP00000088,140208,Advocate Christ Hospital,4440 West 95th Street,Oak Lawn,IL,60453,1,HSI00001526,Advocate Health,Charlotte,NC,711,36453,243.43,0,1,0,0.3423769339,0,0.0634464946,0,2,1372696816,4329208234
CHSP00000089,140202,Condell Medical Center,801 South Milwaukee Avenue,Libertyville,IL,60048,1,HSI00001526,Advocate Health,Charlotte,NC,257,12615,0,0,0,0,0,0,0.0538648269,0,2,367219041,1602653570
CHSP00000090,141309,Carle Eureka Hospital,101 South Major Street,Eureka,IL,61530,1,HSI00001074,The Carle Foundation,Urbana,IL,25,150,0,0,0,0,0,0,0.1063255212,1,2,24783234,42551209
CHSP00000091,140288,Advocate Good Samaritan Hospital,3815 Highland Avenue,Downers Grove,IL,60515,1,HSI00001526,Advocate Health,Charlotte,NC,293,15056,0,0,0,0,0,0,0.0404364026,0,2,439302924,1561798035
CHSP00000092,140291,Good Shepherd Hospital,450 West Highway 22,Barrington,IL,60010,1,HSI00001526,Advocate Health,Charlotte,NC,176,9577,0,0,0,0,0,0,0.046570017,0,2,375246094,1108953807
CHSP00000093,140182,Advocate Northside Health System,836 West Wellington Avenue,Chicago,IL,60657,1,HSI00001526,Advocate Health,Charlotte,NC,233,10730,165.66,0,1,1,0.7109871245,0,0.0711649347,0,2,713227420,2266487114
CHSP00000095,140223,Advocate Lutheran General Hospital,1775 Dempster Street,Park Ridge,IL,60068,1,HSI00001526,Advocate Health,Charlotte,NC,543,28165,218,0,1,0,0.4014732965,0,0.0282255129,0,2,1083009823,3362750117
CHSP00000096,140030,Advocate Sherman Hospital,1425 North Randall Road,Elgin,IL,60123,1,HSI00001526,Advocate Health,Charlotte,NC,255,11932,0,0,0,0,0,0,0.0766623542,0,2,356098529,1561065138
CHSP00000097,140250,Advocate South Suburban Hospital,17800 South Kedzie Avenue,Hazel Crest,IL,60429,1,HSI00001526,Advocate Health,Charlotte,NC,,,,,,,,,,,,,
CHSP00000098,140048,Advocate Southland Hospital,2320 East 93rd Street,Chicago,IL,60617,1,HSI00001526,Advocate Health,Charlotte,NC,438,14729,0,0,0,0,0,0,0.1536218586,1,2,409780897,1707623143
CHSP00000100,520088,St. Agnes Hospital,430 East Division Street,Fond Du Lac,WI,54935,1,HSI00000902,SSM Health,Saint Louis,MO,77,5815,0,0,0,0,0,0,0.087605285,0,2,275942567,884797572
CHSP00000101,420082,Aiken Regional Medical Center,302 University Parkway,Aiken,SC,29801,1,HSI00001148,Universal Health Services,Norristown,PA,211,10622,7.84,0,0,0,0.0371563981,0,0.0628910296,0,5,202272061,1483282970
CHSP00000102,363303,Childrens Hospital Medical Center,One Perkins Square,Akron,OH,44308,1,HSI00000211,Akron Childrens Hospital,Akron,OH,601,11016,122.26,1,0,0,0.2034276206,0,,0,1,1040487478,2330943077
CHSP00000104,360027,Akron General Medical Center,1 Akron General Avenue,Akron,OH,44307,1,HSI00001078,Cleveland Clinic,Cleveland,OH,401,23515,143.72,0,1,0,0.35840399,0,0.0421488096,0,1,773799185,2801318561
CHSP00000106,340070,Alamance Regional Medical Center,1240 Huffman Mill Road,Burlington,NC,27215,1,HSI00000263,Cone Health,Greensboro,NC,176,10095,0,0,0,0,0,0,0.0773074228,0,1,286229240,992782154
CHSP00000107,050211,Alameda Hospital,2070 Clinton Avenue,Alameda,CA,94501,1,HSI00000018,Alameda Health System,Oakland,CA,66,2467,0,0,0,0,0,1,0.1125803596,1,3,174139958,601333750
CHSP00000108,020026,Alaska Native Medical Center,4315 Diplomacy Drive,Anchorage,AK,99508,1,,,,,,,,,,,,,,,,,
CHSP00000109,024002,Alaska Psychiatric Institute,3700 Piper Street,Anchorage,AK,99508,0,,,,,80,677,0,0,0,0,0,0,,0,3,,
CHSP00000110,020017,Alaska Regional Hospital,2801 Debarr Road,Anchorage,AK,99508,1,HSI00000492,HCA Healthcare,Nashville,TN,169,7320,0,0,0,0,0,0,0.0335871452,0,5,355220505,1955801453
CHSP00000112,330013,Albany Medical Center Hospital,43 New Scotland Avenue,Albany,NY,12208,1,HSI00000019,Albany Medical Center,Albany,NY,719,32538,409.04,0,1,0,0.5689012517,0,0.0539832664,0,1,1108178688,3373948565
CHSP00000113,330189,Albany Medical Center South Clinical Campus,25 Hackett Blvd,Albany,NY,12208,0,HSI00000019,Albany Medical Center,Albany,NY,,,,,,,,,,,,,
CHSP00000114,330003,Samaritan Hospital Albany Memorial Campus,600 Northern Blvd,Albany,NY,12204,1,HSI00001106,Trinity Health,Livonia,MI,,,,,,,,,,,,,
CHSP00000115,33009F,Albany Stratton Veterans Affairs Medical Center,113 Holland Avenue,Albany,NY,12208,0,,,,,,,,,,,,,,,,,
CHSP00000117,074015,Albert J Solnit Childrens Center -,915 River Road,Middletown,CT,06457,0,,,,,,,,0,,,,,,,3,,
CHSP00000119,23009F,Aleda E. Lutz Veterans Affairs Medical Center,1500 Weiss Street,Saginaw,MI,48602,0,,,,,,,,,,,,,,,,,
CHSP00000121,,Alexandria Veterans Affairs Health Care System,"2495 Shreveport Highway, 71 N",Pineville,LA,71360,0,,,,,,,,,,,,,,,,,
CHSP00000122,144031,Alexian Brothers Behavioral Health,1650 Moon Lake Boulevard,Hoffman Estates,IL,60169,0,HSI00000055,Ascension Health,Saint Louis,MO,141,4421,0,0,0,0,0,0,,0,2,87726154,206060392
CHSP00000123,083300,Alfred I Dupont Hosp For Children,1600 Rockland Road,Wilmington,DE,19803,1,HSI00000725,Nemours Childrens Health,Jacksonville,FL,207,7305,129.94,1,1,1,0.6277294686,0,,0,1,630087987,1495284853
CHSP00000124,050281,Alhambra Hospital,100 South Raymond Avenue,Alhambra,CA,91801,1,,,,,101,3588,0,0,0,0,0,1,0.0915439826,0,5,237325269,494328075
CHSP00000126,301305,Alice Peck Day Memorial Hospital,10 Alice Peck Day Drive,Lebanon,NH,03766,1,HSI00000299,Dartmouth-Hitchcock,Lebanon,NH,24,605,0,0,0,0,0,0,0.0611933359,0,1,93764000,165046843
CHSP00000128,231328,Ascension Allegan Hospital,555 Linn Street,Allegan,MI,49010,1,HSI00000055,Ascension Health,Saint Louis,MO,25,326,0,0,0,0,0,0,0.0496608043,0,2,39279146,75248684
CHSP00000129,341320,Alleghany Memorial Hospital,233 Doctors Street,Sparta,NC,28675,1,HSI00001526,Advocate Health,Charlotte,NC,25,210,0,0,0,0,0,0,0.0801958491,0,1,11025120,28747043
CHSP00000130,390050,Allegheny General Hospital,320 East North Avenue,Pittsburgh,PA,15212,1,HSI00000025,Allegheny Health Network,Pittsburgh,PA,552,19106,392.58,0,1,1,0.7111956522,0,0.0103345753,0,1,870108561,3502188676
CHSP00000131,390032,Alle-Kiski Medical Center,1301 Carlisle Street,Natrona Heights,PA,15065,1,HSI00000025,Allegheny Health Network,Pittsburgh,PA,131,2739,0,0,0,0,0,0,0.039608753,0,1,113350642,462430901
CHSP00000132,454101,Allegiance Behavioral Ctr Of Plainvi,"2601 Dimmit Road, Suite 400",Plainview,TX,79072,0,HSI00000026,Allegiance Health Management,Shreveport,LA,20,243,0,0,0,0,0,0,,0,5,4053761,7522373
CHSP00000133,194087,Freedom Behavioral Hospital Of Monro,3421 Medical Park Dr,Monroe,LA,71203,0,HSI00000026,Allegiance Health Management,Shreveport,LA,24,555,0,0,0,0,0,0,,0,5,5223068,12181502
CHSP00000134,252013,Allegiance Specialty Hospital Of Gre,"300 South Washington Avenue, 3rd Floor",Greenville,MS,38701,0,HSI00000026,Allegiance Health Management,Shreveport,LA,39,213,0,0,0,0,0,0,,0,5,11198850,58071042
CHSP00000136,171373,Allen County Regional Hospital,3066 N. Kentucky St,Iola,KS,66749,1,HSI00000935,Saint Lukes Health System,Kansas City,MO,25,212,0,0,0,0,0,0,0.1315943395,1,3,24819038,52772696
CHSP00000139,190133,Allen Parish Hospital,108 Sixth Avenue,Kinder,LA,70648,1,,,,,25,464,0,0,0,0,0,0,0.0160588587,0,3,14393044,37776322
CHSP00000140,421300,Allendale County Hospital,1787 Allendale Fairfax Highway,Fairfax,SC,29827,1,,,,,25,84,0,0,0,0,0,0,0.1514099804,1,3,13078692,22235738
CHSP00000142,360131,Alliance Community Hospital,200 East State Street,Alliance,OH,44601,1,HSI00000065,Aultman Health Foundation,Canton,OH,50,1095,9.04,0,0,0,0.1808,0,0.0855745972,0,1,100191178,253442367
CHSP00000143,250151,Alliance Health Center,5000 Highway 39 North,Meridian,MS,39301,0,HSI00001148,Universal Health Services,Norristown,PA,79,746,0,0,0,0,0,0,,0,5,46143526,84382101
CHSP00000144,250012,Alliance Healthcare System,1430 Highway 4 East,Holly Springs,MS,38635,1,,,,,20,206,0,0,0,0,0,0,0.0240043263,0,5,7831091,15282114
CHSP00000145,370030,Blackwell Regional Hospital,710 South 13th Street,Blackwell,OK,74631,1,HSI00001359,Stillwater Medical Center Authority,Stillwater,OK,34,335,0,0,0,0,0,0,0.0732923999,0,3,9395181,52927423
CHSP00000146,370029,Alliance Health Clinton,100 North 30th Street,Clinton,OK,73601,1,HSI00000249,Community Health Systems,Franklin,TN,45,522,0,0,0,0,0,0,0.1049072226,0,5,22358644,106225340
CHSP00000147,370032,Integris Baptist Medical Center Portland Avenue,5501 N Portland Ave,Oklahoma City,OK,73112,1,HSI00000507,Integris Health,Oklahoma City,OK,,,,,,,,,,,,,
CHSP00000148,370014,Alliancehealth Durant,1800 University Boulevard,Durant,OK,74701,1,HSI00000249,Community Health Systems,Franklin,TN,105,5972,13.83,0,0,0,0.1317142857,1,0.064756349,0,5,113655843,1311483118
CHSP00000149,371326,Alliancehealth Madill,901 South Fifth Avenue,Madill,OK,73446,1,HSI00000249,Community Health Systems,Franklin,TN,21,103,0,0,0,0,0,0,0.119826279,1,5,17373458,61618108
CHSP00000150,370094,Ssm Health St Anthony Hospital - Mid,2825 Parklawn Drive,Midwest City,OK,73110,1,HSI00000902,SSM Health,Saint Louis,MO,126,5661,0,0,0,0,0,0,0.0273468598,0,5,98699205,1100383126
CHSP00000151,370006,Ponca City Medical Center,1900 North 14th Street,Ponca City,OK,74601,1,HSI00000249,Community Health Systems,Franklin,TN,47,1883,0,0,0,0,0,0,0.0426076392,0,5,60406310,411925042
CHSP00000152,370015,Hillcrest Hospital Pryor,111 North Bailey Street,Pryor,OK,74361,1,HSI00000046,Ardent Health Services,Nashville,TN,14,461,0,0,0,0,0,0,0.0878019286,0,5,29870326,148039671
CHSP00000153,370229,Alliance Health Seminole,2401 W Wrangler Blvd,Seminole,OK,74868,1,HSI00000902,SSM Health,Saint Louis,MO,32,447,0,0,0,0,0,0,0.1414532755,1,5,17359059,85612671
CHSP00000154,370002,Alliancehealth Woodward,900 17th Street,Woodward,OK,73801,1,HSI00000249,Community Health Systems,Franklin,TN,40,1038,0,0,0,0,0,0,0.0837055467,0,5,44336064,251977993
CHSP00000155,393030,Allied Services Rehab Hospital,475 Morgan Highway,Scranton,PA,18508,0,,,,,50,649,0,0,0,0,0,0,,0,1,24713169,45542439
CHSP00000156,050305,Alta Bates Medical Center,2450 Ashby Avenue,Berkeley,CA,94705,1,HSI00001050,Sutter Health,Sacramento,CA,315,11280,0,0,0,0,0,1,0.0440459562,0,1,618781389,1807602110
CHSP00000157,050043,Summit Medical Center,350 Hawthorne Avenue,Oakland,CA,94609,1,HSI00001050,Sutter Health,Sacramento,CA,403,10414,0,0,0,0,0,1,0.0513633945,0,1,511484835,1809678612
CHSP00000159,460044,Alta View Hospital,9660 South 1300 East,Sandy,UT,84094,1,HSI00000516,Intermountain Healthcare,Salt Lake City,UT,57,2807,0,0,0,0,0,0,0.0351120315,0,1,130931371,344792590
CHSP00000160,320003,Alta Vista Regional Hospital,104 Legion Drive,Las Vegas,NM,87701,1,HSI00000860,Quorum Health Corporation,Brentwood,TN,46,548,0,0,0,0,0,0,0.1475697689,1,5,27557410,160458132
CHSP00000162,140002,Alton Memorial Hospital,One Memorial Drive,Alton,IL,62002,1,HSI00000070,BJC Healthcare,Saint Louis,MO,124,7438,7.74,0,0,0,0.0624193548,0,0.0494795254,0,1,175790620,697113943
CHSP00000163,144016,Alton Mental Health Center,4500 College Avenue,Alton,IL,62002,0,,,,,22,13,0,0,0,0,0,0,,0,3,,
CHSP00000164,350019,Altru Health System-Altru Hospital,1200 South Columbia Road,Grand Forks,ND,58201,1,HSI00000032,Altru Health System,Grand Forks,ND,258,9394,31.58,0,0,0,0.1224031008,0,0.0338322562,0,1,557134252,1580926834
CHSP00000167,050757,Alvarado Hospital Medical Center,6655 Alvarado Road,San Diego,CA,92120,1,HSI00000845,Prime Healthcare Services,Ontario,CA,226,5232,0,0,0,0,0,1,0.2081753572,1,5,110504628,505111659
CHSP00000168,054075,Alvarado Parkway Institute,7050 Parkway Drive,La Mesa,CA,91942,0,,,,,66,2118,0,0,0,0,0,0,,0,5,30952770,94747425
CHSP00000169,45060F,Amarillo Veterans Affairs Health Care System,6010 West Amarillo Boulevard,Amarillo,TX,79106,0,,,,,,,,,,,,,,,,,
CHSP00000171,460023,American Fork Hospital,170 North 1100 East,American Fork,UT,84003,1,HSI00000516,Intermountain Healthcare,Salt Lake City,UT,88,5691,0,0,0,0,0,0,0.0302385094,0,1,216785455,510435147
CHSP00000173,521308,Amery Regional Medical Center,265 Griffin Street East,Amery,WI,54001,1,HSI00000464,HealthPartners,Minneapolis,MN,25,981,0.42,0,0,0,0.0168,0,0.0772676254,0,1,70891274,142109605
CHSP00000174,420027,Anmed Health,800 North Fant Street,Anderson,SC,29621,1,HSI00001382,AnMed Health,Anderson,SC,367,17249,33.5,0,0,0,0.091280654,0,0.04504007,0,1,596685283,2751351714
CHSP00000175,423029,Anmed Health Rehabilitation Hospital,1 Spring Back Way,Anderson,SC,29621,0,,,,,60,1387,0,0,0,0,0,0,,0,5,26967245,36130014
CHSP00000177,050744,Anaheim Global Medical Center,1025 South Anaheim Boulevard,Anaheim,CA,92805,1,,,,,103,1821,0,0,0,0,0,1,0.1589384923,1,5,76131056,271541439
CHSP00000178,114032,Southern Crescent Hospital,5454 Yorktowne Drive,Atlanta,GA,30349,0,HSI00001148,Universal Health Services,Norristown,PA,122,3908,0,0,0,0,0,0,,0,5,23266400,77685165
CHSP00000179,314005,Ancora Psychiatric Hospital,301 Spring Garden Road,Hammonton,NJ,08037,0,,,,,515,115,0,0,0,0,0,0,,0,3,7186927,7186927
CHSP00000180,010036,Andalusia Regional Hospital,849 South Three Notch Street,Andalusia,AL,36420,1,HSI00001475,ScionHealth,Louisville,KY,83,2196,0,0,0,0,0,0,0.0509436084,0,5,44784723,296506587
CHSP00000181,171316,Anderson County Hospital,421 South Maple,Garnett,KS,66032,1,HSI00000935,Saint Lukes Health System,Kansas City,MO,12,135,0,0,0,0,0,0,0.07913881,0,1,27826671,41481194
CHSP00000182,140289,Anderson Hospital,6800 State Route 162,Maryville,IL,62062,1,HSI00001473,Anderson Medical Group,Maryville,IL,120,6054,0,0,0,0,0,0,0.0773823443,0,1,176757504,756560517
CHSP00000183,250104,Jeff Anderson Regional Medical Cente,2124 14th Street,Meridian,MS,39301,1,HSI00000034,Anderson Regional Health System,Meridian,MS,270,8003,2.38,0,0,0,0.0088148148,0,0.0370801801,0,1,213271253,761875676
CHSP00000184,250081,Anderson Regional Med Ctr-South Camp,1102 Constitution Avenue,Meridian,MS,39301,1,HSI00000034,Anderson Regional Health System,Meridian,MS,33,1,0,0,0,0,0,0,0.0494368058,0,1,25246702,53840047
CHSP00000185,144021,Mcfarland Mental Health Center,901 East Southwind Road,Springfield,IL,62703,0,,,,,142,131,0,0,0,0,0,0,,0,3,,
CHSP00000186,301310,Androscoggin Valley Hospital,59 Page Hill Road,Berlin,NH,03570,1,,,,,25,898,0,0,0,0,0,0,0.0194218664,0,1,71183141,101414818
