YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit ,Sample_Size,Total,Age(years),Education,Sex,Income,Race/Ethnicity,GeoLocation,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
2011,2011,AL,Alabama,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2011.0,Value,42.4,42.4,,,40.7,44.0,7191.0,Total,,,,,,"(32.840571122, -86.631860762)",PA,PA1,Q043,VALUE,1,Total,Total,OVR,OVERALL
2011,2011,AL,Alabama,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,2011.0,Value,15.0,15.0,,,13.8,16.3,7145.0,Total,,,,,,"(32.840571122, -86.631860762)",PA,PA1,Q044,VALUE,1,Total,Total,OVR,OVERALL
2011,2011,AL,Alabama,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,32.0,32.0,,,30.5,33.5,7304.0,Total,,,,,,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Total,Total,OVR,OVERALL
2011,2011,AL,Alabama,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,2011.0,Value,24.7,24.7,,,23.3,26.2,7415.0,Total,,,,,,"(32.840571122, -86.631860762)",PA,PA1,Q046,VALUE,1,Total,Total,OVR,OVERALL
2011,2011,AR,Arkansas,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,30.9,30.9,,,28.8,33.1,4527.0,Total,,,,,,"(34.748650124, -92.274490743)",OWS,OWS1,Q036,VALUE,5,Total,Total,OVR,OVERALL
2011,2011,AR,Arkansas,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,2011.0,Value,33.9,33.9,,,31.8,36.2,4527.0,Total,,,,,,"(34.748650124, -92.274490743)",OWS,OWS1,Q037,VALUE,5,Total,Total,OVR,OVERALL
2011,2011,AR,Arkansas,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2011.0,Value,45.7,45.7,,,43.3,48.1,4268.0,Total,,,,,,"(34.748650124, -92.274490743)",PA,PA1,Q043,VALUE,5,Total,Total,OVR,OVERALL
2011,2011,AR,Arkansas,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,2011.0,Value,30.9,30.9,,,28.9,33.0,4449.0,Total,,,,,,"(34.748650124, -92.274490743)",PA,PA1,Q047,VALUE,5,Total,Total,OVR,OVERALL
2011,2011,AR,Arkansas,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,2011.0,Value,24.7,24.7,,,22.6,26.9,4397.0,Total,,,,,,"(34.748650124, -92.274490743)",PA,PA1,Q046,VALUE,5,Total,Total,OVR,OVERALL
2011,2011,AR,Arkansas,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2011.0,Value,27.8,27.8,,,25.7,30.1,4239.0,Total,,,,,,"(34.748650124, -92.274490743)",PA,PA1,Q045,VALUE,5,Total,Total,OVR,OVERALL
2011,2011,AR,Arkansas,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,2011.0,Value,16.7,16.7,,,14.8,18.8,4220.0,Total,,,,,,"(34.748650124, -92.274490743)",PA,PA1,Q044,VALUE,5,Total,Total,OVR,OVERALL
2011,2011,AZ,Arizona,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2011.0,Value,33.1,33.1,,,30.9,35.3,5961.0,Total,,,,,,"(34.86597028, -111.763811277)",PA,PA1,Q045,VALUE,4,Total,Total,OVR,OVERALL
2011,2011,AZ,Arizona,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,2011.0,Value,32.5,32.5,,,30.3,34.8,6087.0,Total,,,,,,"(34.86597028, -111.763811277)",PA,PA1,Q046,VALUE,4,Total,Total,OVR,OVERALL
2011,2011,AZ,Arizona,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,2011.0,Value,24.1,24.1,,,22.0,26.3,6197.0,Total,,,,,,"(34.86597028, -111.763811277)",PA,PA1,Q047,VALUE,4,Total,Total,OVR,OVERALL
2011,2011,AZ,Arizona,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,2011.0,Value,24.2,24.2,,,22.2,26.3,5915.0,Total,,,,,,"(34.86597028, -111.763811277)",PA,PA1,Q044,VALUE,4,Total,Total,OVR,OVERALL
2011,2011,AZ,Arizona,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,2011.0,Value,37.8,37.8,,,35.5,40.2,5981.0,Total,,,,,,"(34.86597028, -111.763811277)",OWS,OWS1,Q037,VALUE,4,Total,Total,OVR,OVERALL
2011,2011,AZ,Arizona,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2011.0,Value,52.8,52.8,,,50.4,55.1,5996.0,Total,,,,,,"(34.86597028, -111.763811277)",PA,PA1,Q043,VALUE,4,Total,Total,OVR,OVERALL
2011,2011,AZ,Arizona,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,25.1,25.1,,,23.0,27.3,6150.0,Total,,,,,,"(34.86597028, -111.763811277)",OWS,OWS1,Q036,VALUE,4,Total,Total,OVR,OVERALL
2011,2011,CA,California,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,2011.0,Value,36.4,36.4,,,35.4,37.4,17088.0,Total,,,,,,"(37.638640123, -120.999999538)",OWS,OWS1,Q037,VALUE,6,Total,Total,OVR,OVERALL
2011,2011,CA,California,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2011.0,Value,58.2,58.2,,,57.1,59.2,16760.0,Total,,,,,,"(37.638640123, -120.999999538)",PA,PA1,Q043,VALUE,6,Total,Total,OVR,OVERALL
2011,2011,CA,California,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,2011.0,Value,32.1,32.1,,,31.1,33.1,16777.0,Total,,,,,,"(37.638640123, -120.999999538)",PA,PA1,Q046,VALUE,6,Total,Total,OVR,OVERALL
2011,2011,CA,California,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2011.0,Value,36.1,36.1,,,35.1,37.2,16716.0,Total,,,,,,"(37.638640123, -120.999999538)",PA,PA1,Q045,VALUE,6,Total,Total,OVR,OVERALL
2011,2011,CA,California,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,2011.0,Value,23.7,23.7,,,22.8,24.6,16661.0,Total,,,,,,"(37.638640123, -120.999999538)",PA,PA1,Q044,VALUE,6,Total,Total,OVR,OVERALL
2011,2011,CA,California,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,2011.0,Value,19.1,19.1,,,18.3,20.0,16927.0,Total,,,,,,"(37.638640123, -120.999999538)",PA,PA1,Q047,VALUE,6,Total,Total,OVR,OVERALL
2011,2011,CA,California,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,23.8,23.8,,,22.9,24.7,17088.0,Total,,,,,,"(37.638640123, -120.999999538)",OWS,OWS1,Q036,VALUE,6,Total,Total,OVR,OVERALL
2011,2011,CO,Colorado,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,2011.0,Value,16.5,16.5,,,15.5,17.5,12800.0,Total,,,,,,"(38.843840757, -106.133610921)",PA,PA1,Q047,VALUE,8,Total,Total,OVR,OVERALL
2011,2011,CO,Colorado,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2011.0,Value,61.8,61.8,,,60.5,63.1,12349.0,Total,,,,,,"(38.843840757, -106.133610921)",PA,PA1,Q043,VALUE,8,Total,Total,OVR,OVERALL
2011,2011,CO,Colorado,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,20.7,20.7,,,19.7,21.8,12976.0,Total,,,,,,"(38.843840757, -106.133610921)",OWS,OWS1,Q036,VALUE,8,Total,Total,OVR,OVERALL
2011,2011,CO,Colorado,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,2011.0,Value,27.3,27.3,,,26.1,28.5,12223.0,Total,,,,,,"(38.843840757, -106.133610921)",PA,PA1,Q044,VALUE,8,Total,Total,OVR,OVERALL
2011,2011,CO,Colorado,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2011.0,Value,40.7,40.7,,,39.4,42.0,12262.0,Total,,,,,,"(38.843840757, -106.133610921)",PA,PA1,Q045,VALUE,8,Total,Total,OVR,OVERALL
2011,2011,CO,Colorado,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,2011.0,Value,35.4,35.4,,,34.2,36.7,12976.0,Total,,,,,,"(38.843840757, -106.133610921)",OWS,OWS1,Q037,VALUE,8,Total,Total,OVR,OVERALL
2011,2011,CO,Colorado,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,2011.0,Value,35.6,35.6,,,34.4,36.9,12651.0,Total,,,,,,"(38.843840757, -106.133610921)",PA,PA1,Q046,VALUE,8,Total,Total,OVR,OVERALL
2011,2011,CT,Connecticut,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2011.0,Value,52.6,52.6,,,50.8,54.3,6376.0,Total,,,,,,"(41.56266102, -72.649840952)",PA,PA1,Q043,VALUE,9,Total,Total,OVR,OVERALL
2011,2011,CT,Connecticut,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2011.0,Value,32.8,32.8,,,31.2,34.5,6340.0,Total,,,,,,"(41.56266102, -72.649840952)",PA,PA1,Q045,VALUE,9,Total,Total,OVR,OVERALL
2011,2011,CT,Connecticut,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,24.5,24.5,,,23.0,26.0,6457.0,Total,,,,,,"(41.56266102, -72.649840952)",OWS,OWS1,Q036,VALUE,9,Total,Total,OVR,OVERALL
2011,2011,CT,Connecticut,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,2011.0,Value,21.8,21.8,,,20.3,23.3,6303.0,Total,,,,,,"(41.56266102, -72.649840952)",PA,PA1,Q044,VALUE,9,Total,Total,OVR,OVERALL
2011,2011,CT,Connecticut,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,2011.0,Value,30.6,30.6,,,29.0,32.3,6485.0,Total,,,,,,"(41.56266102, -72.649840952)",PA,PA1,Q046,VALUE,9,Total,Total,OVR,OVERALL
2011,2011,CT,Connecticut,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,2011.0,Value,25.5,25.5,,,24.0,27.1,6588.0,Total,,,,,,"(41.56266102, -72.649840952)",PA,PA1,Q047,VALUE,9,Total,Total,OVR,OVERALL
2011,2011,CT,Connecticut,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,2011.0,Value,35.2,35.2,,,33.5,36.8,6457.0,Total,,,,,,"(41.56266102, -72.649840952)",OWS,OWS1,Q037,VALUE,9,Total,Total,OVR,OVERALL
2011,2011,DC,District of Columbia,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,2011.0,Value,29.1,29.1,,,27.1,31.2,4368.0,Total,,,,,,"(38.890371385, -77.031961127)",OWS,OWS1,Q037,VALUE,11,Total,Total,OVR,OVERALL
2011,2011,DC,District of Columbia,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,2011.0,Value,26.3,26.3,,,24.2,28.6,4117.0,Total,,,,,,"(38.890371385, -77.031961127)",PA,PA1,Q044,VALUE,11,Total,Total,OVR,OVERALL
2011,2011,DC,District of Columbia,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,2011.0,Value,19.8,19.8,,,18.1,21.6,4356.0,Total,,,,,,"(38.890371385, -77.031961127)",PA,PA1,Q047,VALUE,11,Total,Total,OVR,OVERALL
2011,2011,DC,District of Columbia,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2011.0,Value,57.6,57.6,,,55.2,59.9,4174.0,Total,,,,,,"(38.890371385, -77.031961127)",PA,PA1,Q043,VALUE,11,Total,Total,OVR,OVERALL
2011,2011,DC,District of Columbia,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,23.7,23.7,,,21.9,25.7,4368.0,Total,,,,,,"(38.890371385, -77.031961127)",OWS,OWS1,Q036,VALUE,11,Total,Total,OVR,OVERALL
2011,2011,DC,District of Columbia,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,2011.0,Value,36.1,36.1,,,33.8,38.5,4276.0,Total,,,,,,"(38.890371385, -77.031961127)",PA,PA1,Q046,VALUE,11,Total,Total,OVR,OVERALL
2011,2011,DC,District of Columbia,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2011.0,Value,34.4,34.4,,,32.1,36.7,4152.0,Total,,,,,,"(38.890371385, -77.031961127)",PA,PA1,Q045,VALUE,11,Total,Total,OVR,OVERALL
2011,2011,DE,Delaware,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,2011.0,Value,21.5,21.5,,,19.7,23.4,4441.0,Total,,,,,,"(39.008830667, -75.577741168)",PA,PA1,Q044,VALUE,10,Total,Total,OVR,OVERALL
2011,2011,DE,Delaware,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2011.0,Value,48.5,48.5,,,46.4,50.6,4511.0,Total,,,,,,"(39.008830667, -75.577741168)",PA,PA1,Q043,VALUE,10,Total,Total,OVR,OVERALL
2011,2011,DE,Delaware,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,2011.0,Value,27.0,27.0,,,25.3,28.9,4728.0,Total,,,,,,"(39.008830667, -75.577741168)",PA,PA1,Q047,VALUE,10,Total,Total,OVR,OVERALL
2011,2011,DE,Delaware,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,28.8,28.8,,,26.9,30.7,4530.0,Total,,,,,,"(39.008830667, -75.577741168)",OWS,OWS1,Q036,VALUE,10,Total,Total,OVR,OVERALL
2011,2011,DE,Delaware,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,2011.0,Value,35.0,35.0,,,33.0,37.0,4530.0,Total,,,,,,"(39.008830667, -75.577741168)",OWS,OWS1,Q037,VALUE,10,Total,Total,OVR,OVERALL
2011,2011,DE,Delaware,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2011.0,Value,28.3,28.3,,,26.4,30.3,4459.0,Total,,,,,,"(39.008830667, -75.577741168)",PA,PA1,Q045,VALUE,10,Total,Total,OVR,OVERALL
2011,2011,DE,Delaware,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,2011.0,Value,32.3,32.3,,,30.3,34.4,4646.0,Total,,,,,,"(39.008830667, -75.577741168)",PA,PA1,Q046,VALUE,10,Total,Total,OVR,OVERALL
2011,2011,FL,Florida,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,26.6,26.6,,,25.4,27.9,11770.0,Total,,,,,,"(28.932040377, -81.928960539)",OWS,OWS1,Q036,VALUE,12,Total,Total,OVR,OVERALL
2011,2011,FL,Florida,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2011.0,Value,33.7,33.7,,,32.3,35.1,10998.0,Total,,,,,,"(28.932040377, -81.928960539)",PA,PA1,Q045,VALUE,12,Total,Total,OVR,OVERALL
2011,2011,FL,Florida,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2011.0,Value,52.8,52.8,,,51.4,54.3,11100.0,Total,,,,,,"(28.932040377, -81.928960539)",PA,PA1,Q043,VALUE,12,Total,Total,OVR,OVERALL
2011,2011,FL,Florida,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,2011.0,Value,21.4,21.4,,,20.2,22.7,10962.0,Total,,,,,,"(28.932040377, -81.928960539)",PA,PA1,Q044,VALUE,12,Total,Total,OVR,OVERALL
2011,2011,FL,Florida,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,2011.0,Value,26.9,26.9,,,25.6,28.2,11564.0,Total,,,,,,"(28.932040377, -81.928960539)",PA,PA1,Q047,VALUE,12,Total,Total,OVR,OVERALL
2011,2011,FL,Florida,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,2011.0,Value,29.2,29.2,,,27.8,30.5,11377.0,Total,,,,,,"(28.932040377, -81.928960539)",PA,PA1,Q046,VALUE,12,Total,Total,OVR,OVERALL
2011,2011,FL,Florida,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,2011.0,Value,36.7,36.7,,,35.3,38.1,11770.0,Total,,,,,,"(28.932040377, -81.928960539)",OWS,OWS1,Q037,VALUE,12,Total,Total,OVR,OVERALL
2011,2011,GA,Georgia,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,2011.0,Value,30.2,30.2,,,28.7,31.8,9330.0,Total,,,,,,"(32.839681093, -83.627580346)",PA,PA1,Q046,VALUE,13,Total,Total,OVR,OVERALL
2011,2011,GA,Georgia,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2011.0,Value,31.8,31.8,,,30.4,33.3,9037.0,Total,,,,,,"(32.839681093, -83.627580346)",PA,PA1,Q045,VALUE,13,Total,Total,OVR,OVERALL
2011,2011,GA,Georgia,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,2011.0,Value,20.7,20.7,,,19.4,22.1,9008.0,Total,,,,,,"(32.839681093, -83.627580346)",PA,PA1,Q044,VALUE,13,Total,Total,OVR,OVERALL
2011,2011,GA,Georgia,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,2011.0,Value,34.7,34.7,,,33.2,36.2,9353.0,Total,,,,,,"(32.839681093, -83.627580346)",OWS,OWS1,Q037,VALUE,13,Total,Total,OVR,OVERALL
2011,2011,GA,Georgia,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2011.0,Value,50.7,50.7,,,49.1,52.3,9107.0,Total,,,,,,"(32.839681093, -83.627580346)",PA,PA1,Q043,VALUE,13,Total,Total,OVR,OVERALL
2011,2011,GA,Georgia,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,2011.0,Value,26.7,26.7,,,25.4,28.1,9466.0,Total,,,,,,"(32.839681093, -83.627580346)",PA,PA1,Q047,VALUE,13,Total,Total,OVR,OVERALL
2011,2011,GA,Georgia,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011.0,Value,28.0,28.0,,,26.6,29.4,9353.0,Total,,,,,,"(32.839681093, -83.627580346)",OWS,OWS1,Q036,VALUE,13,Total,Total,OVR,OVERALL
